mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
23.9,21.9,26.4,22.9,1008.1,94,84,27.6,0,0,5.89,1.7,90,10.8
23.9,22.6,26.4,21.9,1011.7,89,91,0.3,2,1.9,13.31,3.2,70,26.1
24,23.2,26.6,21.6,1012.2,87,88,0,5,2.4,13.83,2.9,70,27.9
23.9,22.6,26.1,22.2,1010.7,90,88,0.7,1,1.8,12.95,2.8,80,25
24.5,23.7,25.7,23.3,1009,93,87,0,2,1.1,9.55,1.9,80,20.4
23.9,23,26.5,22.6,1009.6,92,88,11.9,2,2.4,14.68,2.7,40,24.8
24.1,22.7,26.9,22.7,1011.1,92,85,0.8,9,3.2,16.34,4.3,40,23.8
25.2,24.1,27.3,23.2,1011.6,89,80,0,0,3.9,17.53,3.1,30,19.5
27.3,25,29.6,24.5,1010.2,85,72,0,0,3.9,13.82,4,190,8.9
26,22.6,28.8,24,1009.2,89,79,55.7,0,0.2,4.48,3.4,190,16.1
25.9,22.6,29.9,23.4,1010.1,87,73,8.1,0,4.4,15.8,3,190,13.6
28.5,26.3,30.7,25.6,1008.7,84,82,0,0,2.8,13.02,3.2,170,20.1
29,28.2,29.6,25.5,1004.5,82,86,0,0,0.2,5.67,2.6,200,38.2
26,23.9,29,22.2,1003.2,80,81,10.1,0,0,6.59,3.6,350,21
25.6,22.7,29.5,18.2,1006.9,65,30,0,0,12.3,28.81,5.6,360,16.8
25.9,23.1,29.6,21.1,1008,75,32,0,0,12.4,27.73,6.3,70,18.8
26.6,24.1,29.9,22.1,1007.5,77,72,0,0,9.6,24.78,5.8,60,30.8
26.1,25,27.5,23.6,1007.6,86,84,0,0,0.5,5.29,1.5,40,27.7
26.9,24.9,29.6,24,1008.4,84,74,0,0,8.6,22.74,4.5,100,14.5
27,24.6,29.2,24.9,1006.9,89,87,22.6,0,0.4,9.34,3.2,220,15.3
26.5,25.5,28.9,24.9,1006.3,91,87,5.3,6,0.6,8.92,1.9,80,5.4
24.7,23.9,25.7,22.8,1007.9,89,88,0.3,0,0,4.93,1.7,70,26.5
24.2,21.2,26.8,21.2,1008,84,88,16.1,0,1.7,13.76,3.9,70,34.6
21.7,20.4,23.4,21.2,1008.3,97,93,29.3,0,0,3.18,0.3,60,45
22.7,20.5,25.3,21,1010.2,90,86,1,1,3.2,14.11,2.1,10,17.1
24.7,22.8,26.8,21.9,1010.1,85,89,0,12,1.1,10.1,2.2,90,7.3
24.9,22.9,28,22.1,1009.6,85,84,8.2,5,3.4,16.97,5.1,110,15.3
25.2,23.5,28.2,21.5,1010.3,80,59,0,0,8.5,21.91,4.3,90,15.3
25.5,23.9,28.5,21.7,1010.8,80,49,0,0,10.8,25.05,6,100,14.5
25.6,24,28.7,22.7,1009.5,84,84,0,0,6,21.07,4.7,90,20.5
25.6,24.3,27.1,24.3,1007.9,93,87,16.7,0,0,4.79,1.7,120,17.3
25.4,24.8,26.5,24.9,1008.5,97,92,58.4,0,0,4.45,0.1,120,8.9
27.2,25.5,30.1,24.7,1008.5,87,83,0,0,4.5,17.08,6.1,210,9.8
